Name	Latitude	Longitude	Altitude	Description
BHS	13.3149	-61.12135	90	Orange Hill, St. Vincent (BHS.)
SSV	13.3270	-61.1930	824	Summit, St. Vincent (SSV.)
SVB	13.27450	-61.25040	282	Belmont, St. Vincent (SVB.)
SVGT	13.2805	-61.1193	25.3	Georgetown, St Vincent (SVGT.)
SVT	13.16800	-61.24500	38	Saint Vincent (Camden Park) (NEIC) (SVT.)
SVV	13.3180	-61.2160	243	Wallibou, St. Vincent (SVV.)
SOA	13.37347	-61.14861	40	Owia, St Vincent (SOA.)
SFAN	13.3825833	-61.1655667	229	Fancy, St. Vincent (SFAN.)
