Name	Latitude	Longitude	Altitude	Description
MBCS	16.70338	-62.18823	457	Chances Steps, Montserrat (MBCS.)
MBGS	16.70665	-62.17086	781	Galways Saddle, Montserrat (MBGS.)
MSUH	16.71900	-62.1702	515	Upper Hermitage, Montserrat (MSUH.)
