Name	Latitude	Longitude	Altitude	Description
BBL	15.5262	-61.4699	265	Barbers Block (Morne Espagnol), Dominica (BBL.)
DWS	15.5685	-61.3113	61	Wesley, Dominica (DWS.)
MDCT	15.6168	-61.4629	77.0	Cottage Hill, Dominica (MDCT.)
MDPM	15.5756	-61.4517	8.0	Portsmouth, Dominica (MDPM.)
MDVC	15.6142	-61.4055	84.0	Vieille Case, Dominica (MDVC.)
PSDMZ	15.57699	-61.45523	1.0	Portsmouth, Dominica (PSDMZ.)
MDPV	15.62753	-61.42221	282	Penville, Dominica (MDPV.)
MDMP	15.5958	-61.41151	177	Moore Park, Dominica (MDMP.)
