Name	Latitude	Longitude	Altitude	Description
MSCP	16.70935	-62.1809	876	Chances Peak, Montserrat (MSCP.)
MSMX	16.73075	-62.20287	135.3	Molyneux, Montserrat (MSMX.)
MSS1	16.72182	-62.1780	488	Scar 1 (MSS1.)
MSUH	16.71900	-62.1702	515	Upper Hermitage, Montserrat (MSUH.)
