Name	Latitude	Longitude	Altitude	Description
SSVA	13.323083	-61.182508	787.0	Summit Station2, St Vincent (SSVA.)
SVB	13.27450	-61.25040	282	Belmont, St. Vincent (SVB.)
SVGT	13.2805	-61.1193	25.3	Georgetown, St Vincent (SVGT.)
SVT	13.16800	-61.24500	38	Saint Vincent (Camden Park) (NEIC) (SVT.)
SVV	13.3180	-61.2160	243	Wallibou, St. Vincent (SVV.)
SOA	13.37347	-61.14861	40	Owia, St Vincent (SOA.)
SFAN	13.381502	-61.165876	40.0	Fancy, St. Vincent (SFAN.)
SVWL	13.316220	-61.152760	353.0	Bamboo Range, St Vincent (SVWL.)
