# Seismic Stations - names
# Code, Name
MGP,   Maguayo, Lajas, Puerto Rico, USA
MHRV,  Hermitage. Montserrat
MLG,   Mont-d'dor, Guadeloupe
MLGT,  Long Ground, Montserrat
MLM,   Martinique
MLYT,  Lees Yard, Montserrat
MOLL,  Venezuela
MONV,  Montecano, Venezuela
MORO,  Morocoy, Venezuela
MP,    Montserrat
MPEW,  Montserrat
MPNS,  Montserrat
MPR,   UPR/RUM, Mayaguez, Puerto Rico, USA
MPVE,  Montserrat
MSAT,  Salem, Montserrat
MSPT,  St. Patrick's, Montserrat
MSSZ,  South Soufriere Hills, Montserrat
MTP,   Monte Pirata, Vieques, Puerto Rico, USA
MVOV,  Montserrat Observatory, Montserrat
MVPV,  Vieux Pointe, Montserrat
MWHT,  Windy Hill, Montserrat
MWHZ,  Windy Hill, Montserrat
NEBH,  Bath Hotel, Nevis
NVBH,  Bath Hotel, Nevis
NVRH,  Round Hill, Nevis
OBS,   Observatory, Martinique
OLLA,  las Ollas, Venezuela
ORIV,  Oritupan, Venezuela
PAM,   Morne Pavillon, Martinique
PARV,  Pariaguan, Venezuela
PAYV,  Puerto Ayacucho, Venezuela
PLAT,  Platillon, Venezuela
PNP,   Penuelas, Puerto Rico, USA
PORP,  Portuges Dam Site, Ponce, Puerto Rico, USA
PRG,   Pas du Roy, Guadeloupe
PUDO,  Palma Real, Venezuela
QARV,  Quebrada, Venezuela
RMG,   Ravine Marchand, Guadeloupe 
SAB,   Saba
SABA,  Saba
SABS,  Saba, near Senior Secondary School (Mt. Scenery)
SABT,  Saba
SAFE,  Santa Fe, Venezuela
SANV,  Sanarito, Venezuela
SCRV,  Venezuela
SCVI,  St. Croix, Venezuala
SEG,   Port Louis, Guadeloupe
SFG,   St. Francois, Guadeloupe
SIP,   Siparia, Trinidad
SIQV,  Siquisique, Venezuela
SJV,   St. Johns, USVI
SKDB,  Dieppe Bay, St. Kitts
SKTB,  Turtle Beach, St. Kitts
SLD,   Delcer, St. Lucia
SLP,   Patience, St. Lucia
SLR,   Piton St. Espirit
SLT,   Morne Tabac, St. Lucia
SSLP,  Patience, St. Lucia
STAT,  Statia
STG,   Sans Toucher, Guadeloupe 
STM,   St. Maarten
STMT,  St. Maarten
STVI,  St. Thomas, USVI
SVSV,  Belmont, St. Vincent
TAG,   Tarade, Guadeloupe
TBRC,  Toco, Trinidad
TBVI,  Tortola, British Virgin Is.
TCHG,  Chaguaramas, Trinidad
TEST,  Llanito, Venezuela
TGR,   Del Tigre, Venezuela
TGRV,  El Tigre, Venezuela
TMD,   Matura, Trinidad
TOCO,  Toco Lighthouse
TOV,   El Tocuyo, Venezuela
TPTC,  Pt. Cumana
TRM,   Trois Llets, Martinique
TRPT,  Temporary
TTR,   Matura, Trinidad
UPA,   Univ. of Panama, Panama
VGVI,  Virgin Gorda
VIRV,  Villa Del Rosario, Venezuela
VOLV,  El Volcan, Venezuela
SRU,   Seismic Research Unit, University of the West Indies
ALNG,  Atlantic Liquefied Natural Gas (NEIC)
ANG,   Antigua (Friars Hill) (NEIC)
AWI,   Antigua (NEIC)
B5GA,  5 Glenshane Apartments (NEIC)
BDH,   Highclere (NEIC)
BDS,   Barbados (Husbands) (NEIC)
BPA,   Boggy Peak (NEIC)
BRB,   Barbados (Codrington) (NEIC)
BRBD,  Wooly Bob (NEIC)
BSK,   Brimstone Hill (NEIC)
BUAY,  Buenos Aires (NEIC)
CPB,   Codrington (NEIC)
DGBT,  Grand Bay (NEIC)
DLVT,  Layou Valley (NEIC)
DOM,   Dominica (Roseau) (NEIC)
DSC,   Scotts Head (NEIC)
DSVT,  Soufriere Village (NEIC)
DTMT,  Tete Morne (NEIC)
DVDT,  Valley of Desolation (NEIC)
GNG,   Grange (NEIC)
GRE,   Grenada (Saint George's) (NEIC)
MBET,  Bethel, Montserrat
MCLT,  Moule a Chique, St Lucia
MGH,   Saint George's Hill, Montserrat
O6A,   East Barbuda O.B.S. (NEIC)
OHS,   Orange Hill (NEIC)
PIG,   Pigeon Point (NEIC)
PLS,   Point Lisas (NEIC)
PLY,   Plymouth (NEIC)
RSV,   Radio Antilles (NEIC)
SABS,  Saba (Government School) (NEIC)
SIH,   Signal Hill (NEIC)
