# Seismic Stations - locations
# Code,    Lat,            Long,     Elev, Primary,   Date, Source
SIPA,  10.142900,      -61.50603,      60,   n,           , Soufriere System file (elev. to be revised)
SIQV,  10.648030,      -69.80783,     400,   n,           , Soufriere System file
SJG,   18.108333,      -66.15083,     457,   n,           , Soufriere System file
SJP,   18.38167,       -66.11833,      80,   n,           , Soufriere System file
SJS,    9.93917,       -84.05417,    1196,   n,           , Soufriere System file
SJV,   18.345550,      -64.75555,     280,   n,           , Soufriere System file
SKDB,  17.396900,      -62.80833,      10,   n,           , Soufriere System file
SKI,   17.333330,      -62.73900,     306,   n,           , Soufriere System file
SKTB,  17.229136,      -62.63940,      16,   n, 2003-02   , coords from JS digitised map (Soufriere System file)
SLB,   13.825830,      -61.04083,     600,   n,           , Soufriere System file
SLD,   13.801814,      -61.05114,     800,   n, 2000-10   , GPS - Chan (elev. to be adjusted) (Soufriere System file)
SLDE,  13.803083,      -61.05825,     246,   n,           , GPS - Jerome David (Garmin GPS12XL) (Soufriere System file)
SLE,   47.766167,        8.49333,     600,   n,           , Soufriere System file
SLI,   14.02800,       -61.00800,      30,   n,           , Soufriere System file
SLP,   13.853670,      -60.91900,       0,   n, 2000-10   , GPS - Chan (elev. to be adjusted) 
SLPA,  13.853670,      -60.91900,     183,   n,           , GPS - Jerome David (Garmin GPS12XL)
SLPE,  13.843133,      -60.99520,     460,   n, 2001-10-07, GPS - Chan (elev. to be revised) (Soufriere System file)
SLR,   13.843133,      -60.99520,       0,   n, 2001-04-07, GPS - Chan (elev. to be revised) (Soufriere System file)
SLT,   13.870350,      -61.03992,       0,   n,           , GPS - Chan (elev. to be revised) (Soufriere System file)
SLTA,  13.870350,      -61.03992,     550,   n,           , GPS - Chan (elev. fixed at 1800') (Soufriere System file)
SLW,   14.020000,      -60.93600,     366,   n,           , Soufriere System file
SMF,   46.645278,        3.84111,     459,   n,           , Soufriere System file
SOA,   13.37347,       -61.14861,      40,   y,           , Soufriere System file
SOR,   22.79167,       -83.00778,     206,   n,           , Soufriere System file
SPJ,   17.993000,      -77.55500,     800,   n,           , Soufriere System file
SRH,   13.18600,       -61.25400,     274,   n,           , Soufriere System file
SSLP,  13.853670,      -60.91900,       0,   n,           , Soufriere System file
SSV,   13.327000,      -61.19300,     824,   n,           , Soufriere System file
STAT,  17.495000,      -62.97870,      50,   n,           , GPS - ss time server (Soufriere System file)
STAT,  17.485190,      -62.95886,     132,   n, 1992-06   , Soufriere System file (in comments)
STG,   16.088670,      -61.67883,    1210,   n,           , Soufriere System file
STH,   18.07800,       -76.81400,     427,   n,           , Soufriere System file
STM,   18.012000,      -63.06000,       0,   n,           , Soufriere System file
STMA,  18.042778,      -63.10886,      28.2, n,           , GPS - ss time server (Soufriere System file)
STMT,  18.042550,      -63.07778,     316,   n,           , Soufriere System file
STVI,  18.353333,      -64.96222,     300,   n,           , Soufriere System file
SVB,   13.272000,      -61.25200,     282,   n,           , Soufriere System file
SVG,   13.24500,       -61.27800,      46,   n,           , Soufriere System file
SVI,   13.17000,       -61.25800,      10,   n,           , Soufriere System file
SVL,   13.36800,       -61.20400,      91,   n,           , Soufriere System file
SVSV,  13.272000,      -61.25200,     282,   n,           , Soufriere System file
SVT,   13.16800,       -61.24500,      38,   y,           , Soufriere System file
SVV,   13.31800,       -61.21600,     243,   n,           , Soufriere System file
SWA,   17.40000,       -83.93333,       0,   n,           , Soufriere System file
SWI,   18.59800,       -63.42600,       0,   n,           , Soufriere System file
TACH, -33.653200,      -70.93760,     440,   n,           , Soufriere System file
TAG,   16.042000,      -61.66417,    1182,   n,           , Soufriere System file
TBH,   10.484000,      -61.06700,     199,   n,           , Soufriere System file
TBRC,  10.750000,      -60.95000,       5,   n,           , Soufriere System file
TBVI,  18.410000,      -64.61000,     100,   n,           , Soufriere System file
TCA,  -31.338600,      -64.59080,     910,   n,           , Soufriere System file
TCE,   10.69700,       -61.75300,     240,   n,           , Soufriere System file
TCF,   46.288056,        2.21000,     593,   n,           , Soufriere System file
TCGO,  18.145833,      -66.98117,     880,   n,           , Soufriere System file
TCHG,  10.680000,      -61.66000,      21,   n,           , Soufriere System file
TEST,  10.469000,      -66.80900,     875,   n,           , Soufriere System file
TGR,    8.846600,      -64.18940,       0,   n,           , Soufriere System file
TGRH,   8.840000,      -64.16830,       0,   n,           , Soufriere System file
TGRV,   8.840000,      -64.16830,     293,   n,           , Soufriere System file
TGV,   10.908400,      -65.31390,      40,   n,           , Soufriere System file
TKL,   35.65806,       -83.77417,     350,   n,           , Soufriere System file
TLL,  -30.167200,      -70.80450,    2200,   n,           , Soufriere System file
TMD,   10.674000,      -61.06600,      46,   n,           , Soufriere System file
TOB,   11.14100,       -60.84100,      15,   n,           , Soufriere System file
TOCO,  10.833300,      -60.91400,     100,   n,           , Soufriere System file (coords. from map)
TOR,   10.90840,       -65.31390,       0,   n,           , Soufriere System file
TORT,  10.908400,      -65.31390,      40,   n,           , Soufriere System file
TOV,    9.792500,      -69.79250,     650,   n,           , Soufriere System file
TPP,   10.31700,       -61.45100,      46,   n,           , Soufriere System file
TPR,   11.18600,       -60.77700,     245,   n,           , Soufriere System file
TPTC,  10.680000,      -61.57000,      49,   n,           , Soufriere System file
TRGV,   8.840000,      -64.16830,     200,   n,           , Soufriere System file
TRM,   14.536330,      -61.05117,      78,   n,           , Soufriere System file
TRN,   10.648000,      -61.40300,      24,   n,           , Soufriere System file
TRPT,  11.193055,      -60.79752,       5,   n,           , Soufriere System file
TTR,   10.674000,      -61.06600,      46,   n,           , Soufriere System file
TWMO,  10.670000,      -61.56000,       0,   n,           , Soufriere System file
UAV,    8.61000,       -71.14500,    1600,   n,           , Soufriere System file
ULAV,   8.610000,      -71.14470,    1600,   n,           , Soufriere System file
UPA,    8.981500,      -79.53400,      41,   n,           , Soufriere System file
VAI,   45.866667,        8.77083,       0,   n,           , Soufriere System file
VGU,    9.95750,       -65.64780,       0,   n,           , Soufriere System file
VGV,    9.957500,      -65.64780,    1107,   n,           , Soufriere System file
VGVI,  18.440000,      -64.43000,      20,   n,           , Soufriere System file
VIRV,  10.500000,      -72.41000,     148,   n,           , Soufriere System file
VOLV,  10.420000,      -66.84980,     148,   n,           , Soufriere System file
VST,   18.35400,       -64.95700,       0,   n,           , Soufriere System file
YHJ,   17.89200,       -76.49300,     300,   n,           , Soufriere System file
ZAM,   14.572700,      -61.02870,      25,   n,           , Soufriere System file
ZON,  -31.545800,      -68.67860,     730,   n,           , Soufriere System file
ZUL,   47.481333,        8.39033,     700,   n,           , Soufriere System file
TOSP,  11.29835,       -60.5352,      210,   n,           , initially used in ss, 210 km alt (11N 7.901,60W 32.112) 
SRU,   10.65290,       -61.39985,      80.2, n, 2007-06-06, GPS - Rod (Nokia n800 hdop 3.4 pdop 4.9 vdop 3.6)
SRU,   10.652833,      -61.400433,      0,   n, 2007-06-11, GPS - netDAS output (no alt given)
DVDT,  15.31576,       -61.30417,     984,   y, 2007-06-06, GPS - Nico
BOT,   11.1702,        -60.71668,       0,   n, 2007-08-28, GPS - Ian (11N10.212 60W43.001)
TPR,   11.18813,       -60.77513,       0,   n, 2007-08-28, GPS - Ian (11N11.288 60W46.508)
SVB,   13.27450,       -61.25040,     282,   y, 2007-05-27, GPS - nmx soh log (assumed 282m
SKI,   17.33380,       -62.73800,     306,   y, 2007-05-27, GPS - nmx soh log (assumed 306m alt)
SIPA,  10.14305,       -61.50586667,    0,   n, 2007-09-18, GPS - Ian (10N08.583 61W30.352)
BUAY,  10.10776667,    -61.68598333,    0,   n, 2007-09-18, GPS - Ian (10N06.446 61W41.159)
TCHG,  10.682653,      -61.663360,     50,   n, 2007-09-28, GPS - Rod (Garmin ETrex, avg of 3)
TWMO,  10.675880,      -61.560692,     10,   n, 2007-09-28, GPS - Rod (Garmin ETrex, avg of 5)
TCHG,  10.682653,      -61.663360,     21,   y, 2007-09-28, GPS - Rod (using existing altitude)
TWMO,  10.675880,      -61.560692,      5,   y, 2007-09-28, GPS - Rod (using existing altitide)
MGH,   16.72166,       -62.20679,     370,   y, 2007-10-11, GPS - Rod (Garmin ETrex)
MJHT,  16.76725,       -62.16977,     185,   y, 2007-10-12, GPS - Rod (Garmin ETrex)
ANWB,  17.6685,        -61.7856,       39.0, y,           , NEIC TRN
M01,   16.81183,       -62.19225,       0,   n, 2007-10, GPS - Alan's list
M02,   16.80849,       -62.20446,       0,   n, 2007-10, GPS - Alan's list
M03,   16.78856,       -62.21336,       0,   n, 2007-10, GPS - Alan's list
M04,   16.79247,       -62.19440,       0,   n, 2007-10, GPS - Alan's list
M05,   16.79377,       -62.18493,       0,   n, 2007-10, GPS - Alan's list
M06,   16.77659,       -62.21387,       0,   n, 2007-10, GPS - Alan's list
M07,   16.77466,       -62.20421,       0,   n, 2007-10, GPS - Alan's list
M08,   16.77443,       -62.19325,       0,   n, 2007-10, GPS - Alan's list
M09,   16.77962,       -62.17775,       0,   n, 2007-10, GPS - Alan's list
M10,   16.76928,       -62.21442,       0,   n, 2007-10, GPS - Alan's list
M11,   16.76244,       -62.22003,       0,   n, 2007-10, GPS - Alan's list
M12,   16.75660,       -62.22633,       0,   n, 2007-10, GPS - Alan's list
M13,   16.75109,       -62.23054,       0,   n, 2007-10, GPS - Alan's list
M14,   16.74896,       -62.21281,       0,   n, 2007-10, GPS - Alan's list
M15,   16.74125,       -62.21508,       0,   n, 2007-10, GPS - Alan's list
M16,   16.73630,       -62.23145,       0,   n, 2007-10, GPS - Alan's list
M17,   16.72844,       -62.22045,       0,   n, 2007-10, GPS - Alan's list
M18,   16.71909,       -62.20630,       0,   n, 2007-10, GPS - Alan's list
M19,   16.72216,       -62.19792,       0,   n, 2007-10, GPS - Alan's list
M20,   16.72540,       -62.23579,       0,   n, 2007-10, GPS - Alan's list
M21,   16.71760,       -62.22098,       0,   n, 2007-10, GPS - Alan's list
M22,   16.69578,       -62.21176,       0,   n, 2007-10, GPS - Alan's list
M23,   16.68269,       -62.19819,       0,   n, 2007-10, GPS - Alan's list
M24,   16.67694,       -62.17917,       0,   n, 2007-10, GPS - Alan's list
M27,   16.76716,       -62.16986,       0,   n, 2007-10, GPS - Alan's list
M28,   16.76152,       -62.15981,       0,   n, 2007-10, GPS - Alan's list
DLPL,  15.3324,        -61.2467,       38,   n, 2007-12-27, GPS - NaqsView
MCLT,  13.7115,        -60.9426,      161,   n, 2007-12-27, GPS - NaqsView
SKI,   17.3338,        -62.7380,      277,   n, 2007-12-27, GPS - NaqsView
TOSP,  11.2983,        -60.5352,      -15,   n, 2007-12-27, GPS - NaqsView
SVB,   13.2745,        -61.2504,      255,   n, 2007-12-27, GPS - NaqsView
M01,   16.81183,       -62.19225,     384,   y, 2008-01-07, GPS - Alan's final list
M02,   16.80849,       -62.20446,      15,   y, 2008-01-07, GPS - Alan's final list
M03,   16.78856,       -62.21336,      62,   y, 2008-01-07, GPS - Alan's final list
M04,   16.79247,       -62.19440,     174,   y, 2008-01-07, GPS - Alan's final list
M05,   16.79377,       -62.18493,     166,   y, 2008-01-07, GPS - Alan's final list
M06,   16.77659,       -62.21387,     159,   y, 2008-01-07, GPS - Alan's final list
M07,   16.77466,       -62.20421,     298,   y, 2008-01-07, GPS - Alan's final list
M08,   16.77443,       -62.19325,     292,   y, 2008-01-07, GPS - Alan's final list
M09,   16.77962,       -62.17775,     139,   y, 2008-01-07, GPS - Alan's final list
M10,   16.76928,       -62.21442,     227,   y, 2008-01-07, GPS - Alan's final list
M11,   16.76244,       -62.22003,     112,   y, 2008-01-07, GPS - Alan's final list
M12,   16.75660,       -62.22633,      66,   y, 2008-01-07, GPS - Alan's final list
M13,   16.75109,       -62.23054,      50,   y, 2008-01-07, GPS - Alan's final list
M14,   16.74896,       -62.21281,     257,   y, 2008-01-07, GPS - Alan's final list
M15,   16.74125,       -62.21508,     118,   y, 2008-01-07, GPS - Alan's final list
M16,   16.73630,       -62.23145,      60,   y, 2008-01-07, GPS - Alan's final list
M17,   16.72844,       -62.22045,      79,   y, 2008-01-07, GPS - Alan's final list
M18,   16.71909,       -62.20630,     279,   y, 2008-01-07, GPS - Alan's final list
M19,   16.72216,       -62.19792,     218,   y, 2008-01-07, GPS - Alan's final list
M20,   16.72540,       -62.23579,       9,   y, 2008-01-07, GPS - Alan's final list
M21,   16.71760,       -62.22098,      63,   y, 2008-01-07, GPS - Alan's final list
M22,   16.69578,       -62.21176,       9,   y, 2008-01-07, GPS - Alan's final list
M23,   16.68269,       -62.19819,       4,   y, 2008-01-07, GPS - Alan's final list
M24,   16.67694,       -62.17917,      14,   y, 2008-01-07, GPS - Alan's final list
M25,   16.67612,       -62.16229,      14,   y, 2008-01-07, GPS - Alan's final list
M26,   16.70686,       -62.14968,      13,   y, 2008-01-07, GPS - Alan's final list
M27,   16.76716,       -62.16986,     193,   y, 2008-01-07, GPS - Alan's final list
M28,   16.76152,       -62.15981,       9,   y, 2008-01-07, GPS - Alan's final list
M30,   16.68784,       -62.16142,     451,   y, 2008-01-07, GPS - Alan's final list
M31,   16.74178,       -62.15800,      99,   y, 2008-01-07, GPS - Alan's final list
M32,   16.73134,       -62.15961,     186,   y, 2008-01-07, GPS - Alan's final list
FB01,  16.72218,       -62.19792,     219,   y, 2008-01-07, GPS - Alan's final list
FB02,  16.72263,       -62.19859,     213,   y, 2008-01-07, GPS - Alan's final list
FB03,  16.72283,       -62.19984,     219,   y, 2008-01-07, GPS - Alan's final list
FB04,  16.72356,       -62.20003,     220,   y, 2008-01-07, GPS - Alan's final list
FB05,  16.72469,       -62.20054,     238,   y, 2008-01-07, GPS - Alan's final list
FB06,  16.72479,       -62.20173,     279,   y, 2008-01-07, GPS - Alan's final list
FB07,  16.72528,       -62.20250,     302,   y, 2008-01-07, GPS - Alan's final list
FB08,  16.72589,       -62.20329,     312,   y, 2008-01-07, GPS - Alan's final list
FB09,  16.72619,       -62.20418,     307,   y, 2008-01-07, GPS - Alan's final list
FB10,  16.72673,       -62.20479,     298,   y, 2008-01-07, GPS - Alan's final list
FB11,  16.72765,       -62.20571,     259,   y, 2008-01-07, GPS - Alan's final list
FB12,  16.72775,       -62.20669,     251,   y, 2008-01-07, GPS - Alan's final list
FB13,  16.72755,       -62.20755,     242,   y, 2008-01-07, GPS - Alan's final list
FB14,  16.72902,       -62.20770,     183,   y, 2008-01-07, GPS - Alan's final list
FB15,  16.72938,       -62.20856,     173,   y, 2008-01-07, GPS - Alan's final list
FB16,  16.72983,       -62.20937,     158,   y, 2008-01-07, GPS - Alan's final list
FB17,  16.73069,       -62.21011,     137,   y, 2008-01-07, GPS - Alan's final list
FB18,  16.73109,       -62.21093,     129,   y, 2008-01-07, GPS - Alan's final list
FB19,  16.73154,       -62.21161,     117,   y, 2008-01-07, GPS - Alan's final list
FB20,  16.73148,       -62.21283,     110,   y, 2008-01-07, GPS - Alan's final list
FB21,  16.73249,       -62.21326,      96,   y, 2008-01-07, GPS - Alan's final list
FB22,  16.73306,       -62.21412,     104,   y, 2008-01-07, GPS - Alan's final list
FB23,  16.73346,       -62.21512,      89,   y, 2008-01-07, GPS - Alan's final list
FB24,  16.73260,       -62.21635,      83,   y, 2008-01-07, GPS - Alan's final list
FB25,  16.73288,       -62.21730,      93,   y, 2008-01-07, GPS - Alan's final list
FB26,  16.73352,       -62.21796,      99,   y, 2008-01-07, GPS - Alan's final list
FB27,  16.73428,       -62.21867,      87,   y, 2008-01-07, GPS - Alan's final list
FB28,  16.73573,       -62.21875,      81,   y, 2008-01-07, GPS - Alan's final list
FB29,  16.73687,       -62.21901,      72,   y, 2008-01-07, GPS - Alan's final list
FB30,  16.73667,       -62.22022,      49,   y, 2008-01-07, GPS - Alan's final list
FB31,  16.73892,       -62.21977,      40,   y, 2008-01-07, GPS - Alan's final list
FB32,  16.73960,       -62.22025,      35,   y, 2008-01-07, GPS - Alan's final list
FB33,  16.74094,       -62.22029,      33,   y, 2008-01-07, GPS - Alan's final list
FB34,  16.74143,       -62.22117,      24,   y, 2008-01-07, GPS - Alan's final list
FB35,  16.74202,       -62.22184,      32,   y, 2008-01-07, GPS - Alan's final list
FB36,  16.74231,       -62.22281,      29,   y, 2008-01-07, GPS - Alan's final list
FB37,  16.74258,       -62.22381,      22,   y, 2008-01-07, GPS - Alan's final list
FB38,  16.74286,       -62.22479,      23,   y, 2008-01-07, GPS - Alan's final list
FB39,  16.74355,       -62.22546,      27,   y, 2008-01-07, GPS - Alan's final list
FB40,  16.74369,       -62.22650,      34,   y, 2008-01-07, GPS - Alan's final list
FB41,  16.74457,       -62.22696,      38,   y, 2008-01-07, GPS - Alan's final list
FB42,  16.74503,       -62.22782,      43,   y, 2008-01-07, GPS - Alan's final list
FB43,  16.74523,       -62.22889,      43,   y, 2008-01-07, GPS - Alan's final list
FB44,  16.74542,       -62.22985,      32,   y, 2008-01-07, GPS - Alan's final list
FB45,  16.74576,       -62.23071,      33,   y, 2008-01-07, GPS - Alan's final list
FB46,  16.74579,       -62.23197,      33,   y, 2008-01-07, GPS - Alan's final list
FB94,  16.71735,       -62.19023,     438,   y, 2008-01-07, GPS - Alan's final list
FB95,  16.71994,       -62.19390,     304,   y, 2008-01-07, GPS - Alan's final list
FB96,  16.72030,       -62.19473,     283,   y, 2008-01-07, GPS - Alan's final list
FB97,  16.72097,       -62.19532,     269,   y, 2008-01-07, GPS - Alan's final list
FB98,  16.72157,       -62.19614,     243,   y, 2008-01-07, GPS - Alan's final list
FB99,  16.72207,       -62.19681,     234,   y, 2008-01-07, GPS - Alan's final list
FC01,  16.76722,       -62.16982,     190,   y, 2008-01-07, GPS - Alan's final list
FC02,  16.76736,       -62.17093,     217,   y, 2008-01-07, GPS - Alan's final list
FC03,  16.76706,       -62.17172,     227,   y, 2008-01-07, GPS - Alan's final list
FC04,  16.76668,       -62.17265,     252,   y, 2008-01-07, GPS - Alan's final list
FC05,  16.76670,       -62.17381,     249,   y, 2008-01-07, GPS - Alan's final list
FC06,  16.76631,       -62.17460,     253,   y, 2008-01-07, GPS - Alan's final list
FC07,  16.76562,       -62.17541,     284,   y, 2008-01-07, GPS - Alan's final list
FC08,  16.76540,       -62.17617,     297,   y, 2008-01-07, GPS - Alan's final list
FC09,  16.76504,       -62.17707,     311,   y, 2008-01-07, GPS - Alan's final list
FC10,  16.76489,       -62.17807,     350,   y, 2008-01-07, GPS - Alan's final list
FC11,  16.76473,       -62.17911,     421,   y, 2008-01-07, GPS - Alan's final list
FC12,  16.76480,       -62.18006,     451,   y, 2008-01-07, GPS - Alan's final list
FC13,  16.76456,       -62.18097,     488,   y, 2008-01-07, GPS - Alan's final list
FC14,  16.76306,       -62.18160,     502,   y, 2008-01-07, GPS - Alan's final list
FC15,  16.76305,       -62.18242,     475,   y, 2008-01-07, GPS - Alan's final list
FC16,  16.76271,       -62.18333,     480,   y, 2008-01-07, GPS - Alan's final list
FC17,  16.76289,       -62.18439,     497,   y, 2008-01-07, GPS - Alan's final list
FC18,  16.76235,       -62.18504,     508,   y, 2008-01-07, GPS - Alan's final list
FC19,  16.76099,       -62.18540,     494,   y, 2008-01-07, GPS - Alan's final list
FC20,  16.76039,       -62.18625,     548,   y, 2008-01-07, GPS - Alan's final list
FC21,  16.75874,       -62.18643,     637,   y, 2008-01-07, GPS - Alan's final list
FC22,  16.75771,       -62.18683,     619,   y, 2008-01-07, GPS - Alan's final list
FC23,  16.75718,       -62.18766,     621,   y, 2008-01-07, GPS - Alan's final list
FC24,  16.75615,       -62.18802,     647,   y, 2008-01-07, GPS - Alan's final list
FC25,  16.75535,       -62.18862,     624,   y, 2008-01-07, GPS - Alan's final list
FC26,  16.75522,       -62.18971,     653,   y, 2008-01-07, GPS - Alan's final list
FC27,  16.75557,       -62.19109,     677,   y, 2008-01-07, GPS - Alan's final list
FC28,  16.75575,       -62.19218,     738,   y, 2008-01-07, GPS - Alan's final list
FC29,  16.75539,       -62.19301,     747,   y, 2008-01-07, GPS - Alan's final list
FC30,  16.75503,       -62.19387,     702,   y, 2008-01-07, GPS - Alan's final list
FC31,  16.75496,       -62.19498,     630,   y, 2008-01-07, GPS - Alan's final list
FC32,  16.75554,       -62.19615,     684,   y, 2008-01-07, GPS - Alan's final list
FC33,  16.75740,       -62.19824,     731,   y, 2008-01-07, GPS - Alan's final list
FC34,  16.75741,       -62.19937,     665,   y, 2008-01-07, GPS - Alan's final list
FC35,  16.75761,       -62.20047,     641,   y, 2008-01-07, GPS - Alan's final list
FC36,  16.75832,       -62.20185,     626,   y, 2008-01-07, GPS - Alan's final list
FC37,  16.75824,       -62.20285,     689,   y, 2008-01-07, GPS - Alan's final list
FC38,  16.75789,       -62.20357,     681,   y, 2008-01-07, GPS - Alan's final list
FC39,  16.75686,       -62.20407,     656,   y, 2008-01-07, GPS - Alan's final list
FC40,  16.75557,       -62.20460,     670,   y, 2008-01-07, GPS - Alan's final list
FC41,  16.75544,       -62.20550,     634,   y, 2008-01-07, GPS - Alan's final list
FC42,  16.75484,       -62.20628,     579,   y, 2008-01-07, GPS - Alan's final list
FC43,  16.75426,       -62.20712,     521,   y, 2008-01-07, GPS - Alan's final list
FC44,  16.75370,       -62.20781,     494,   y, 2008-01-07, GPS - Alan's final list
FC45,  16.75295,       -62.20853,     434,   y, 2008-01-07, GPS - Alan's final list
FC46,  16.75253,       -62.20910,     390,   y, 2008-01-07, GPS - Alan's final list
FC47,  16.75184,       -62.21000,     357,   y, 2008-01-07, GPS - Alan's final list
FC48,  16.75125,       -62.21074,     333,   y, 2008-01-07, GPS - Alan's final list
FC49,  16.75069,       -62.21155,     305,   y, 2008-01-07, GPS - Alan's final list
FC50,  16.75003,       -62.21232,     263,   y, 2008-01-07, GPS - Alan's final list
FC51,  16.74894,       -62.21284,     258,   y, 2008-01-07, GPS - Alan's final list
FG01,  16.74823,       -62.21339,     218,   y, 2008-01-07, GPS - Alan's final list
FG02,  16.74759,       -62.21391,     198,   y, 2008-01-07, GPS - Alan's final list
FG03,  16.74783,       -62.21552,     169,   y, 2008-01-07, GPS - Alan's final list
FG04,  16.74761,       -62.21670,     157,   y, 2008-01-07, GPS - Alan's final list
FG05,  16.74758,       -62.21806,     157,   y, 2008-01-07, GPS - Alan's final list
FG06,  16.74696,       -62.21850,     128,   y, 2008-01-07, GPS - Alan's final list
FG07,  16.74616,       -62.21938,     121,   y, 2008-01-07, GPS - Alan's final list
FG08,  16.74554,       -62.21970,     104,   y, 2008-01-07, GPS - Alan's final list
FG09,  16.74453,       -62.21997,      97,   y, 2008-01-07, GPS - Alan's final list
FG10,  16.74413,       -62.22107,      79,   y, 2008-01-07, GPS - Alan's final list
FG11,  16.74371,       -62.22186,      50,   y, 2008-01-07, GPS - Alan's final list
FG12,  16.74301,       -62.22266,      43,   y, 2008-01-07, GPS - Alan's final list
FG13,  16.74259,       -62.22379,      12,   y, 2008-01-07, GPS - Alan's final list
FG14,  16.74254,       -62.22469,      15,   y, 2008-01-07, GPS - Alan's final list
FG15,  16.74161,       -62.22521,      21,   y, 2008-01-07, GPS - Alan's final list
FG16,  16.74152,       -62.22639,      18,   y, 2008-01-07, GPS - Alan's final list
FG17,  16.74104,       -62.22720,      27,   y, 2008-01-07, GPS - Alan's final list
FG18,  16.74069,       -62.22823,      28,   y, 2008-01-07, GPS - Alan's final list
FG19,  16.73999,       -62.22903,      23,   y, 2008-01-07, GPS - Alan's final list
FG20,  16.73982,       -62.23003,      28,   y, 2008-01-07, GPS - Alan's final list
FG21,  16.73909,       -62.23049,      39,   y, 2008-01-07, GPS - Alan's final list
FG22,  16.73717,       -62.22963,      41,   y, 2008-01-07, GPS - Alan's final list
FG23,  16.73719,       -62.23127,      53,   y, 2008-01-07, GPS - Alan's final list
FG24,  16.73632,       -62.23141,      57,   y, 2008-01-07, GPS - Alan's final list
FG25,  16.73518,       -62.23167,      72,   y, 2008-01-07, GPS - Alan's final list
FG26,  16.73444,       -62.23229,      97,   y, 2008-01-07, GPS - Alan's final list
FG27,  16.73394,       -62.23267,      89,   y, 2008-01-07, GPS - Alan's final list
FG28,  16.73138,       -62.23142,      79,   y, 2008-01-07, GPS - Alan's final list
FG29,  16.73085,       -62.23240,     104,   y, 2008-01-07, GPS - Alan's final list
FG30,  16.72992,       -62.23266,     110,   y, 2008-01-07, GPS - Alan's final list
FG31,  16.72919,       -62.23305,     126,   y, 2008-01-07, GPS - Alan's final list
FG32,  16.72834,       -62.23318,     105,   y, 2008-01-07, GPS - Alan's final list
FG33,  16.72736,       -62.23382,      51,   y, 2008-01-07, GPS - Alan's final list
FG34,  16.72662,       -62.23449,      33,   y, 2008-01-07, GPS - Alan's final list
FG35,  16.72611,       -62.23517,      20,   y, 2008-01-07, GPS - Alan's final list
FG36,  16.72541,       -62.23577,       9,   y, 2008-01-07, GPS - Alan's final list
FS01,  16.75588,       -62.19248,     733,   y, 2008-01-07, GPS - Alan's final list
FS02,  16.75696,       -62.19238,     735,   y, 2008-01-07, GPS - Alan's final list
FS03,  16.75769,       -62.19244,     731,   y, 2008-01-07, GPS - Alan's final list
FS04,  16.75872,       -62.19271,     728,   y, 2008-01-07, GPS - Alan's final list
FS05,  16.75980,       -62.19281,     726,   y, 2008-01-07, GPS - Alan's final list
FS06,  16.76054,       -62.19317,     731,   y, 2008-01-07, GPS - Alan's final list
FS07,  16.76147,       -62.19355,     741,   y, 2008-01-07, GPS - Alan's final list
FS08,  16.76228,       -62.19437,     721,   y, 2008-01-07, GPS - Alan's final list
FS09,  16.76320,       -62.19501,     637,   y, 2008-01-07, GPS - Alan's final list
FS10,  16.76412,       -62.19507,     625,   y, 2008-01-07, GPS - Alan's final list
FS11,  16.76501,       -62.19463,     574,   y, 2008-01-07, GPS - Alan's final list
FS12,  16.76595,       -62.19378,     480,   y, 2008-01-07, GPS - Alan's final list
FS13,  16.76685,       -62.19330,     475,   y, 2008-01-07, GPS - Alan's final list
FS14,  16.76792,       -62.19166,     434,   y, 2008-01-07, GPS - Alan's final list
FS15,  16.76865,       -62.19063,     410,   y, 2008-01-07, GPS - Alan's final list
FS16,  16.76947,       -62.19069,     409,   y, 2008-01-07, GPS - Alan's final list
FS17,  16.77050,       -62.19091,     389,   y, 2008-01-07, GPS - Alan's final list
FS18,  16.77126,       -62.18975,     400,   y, 2008-01-07, GPS - Alan's final list
FS19,  16.77214,       -62.18986,     376,   y, 2008-01-07, GPS - Alan's final list
FS20,  16.77286,       -62.18990,     369,   y, 2008-01-07, GPS - Alan's final list
FS21,  16.77400,       -62.19026,     357,   y, 2008-01-07, GPS - Alan's final list
FS22,  16.77484,       -62.18962,     318,   y, 2008-01-07, GPS - Alan's final list
FS23,  16.77578,       -62.18983,     313,   y, 2008-01-07, GPS - Alan's final list
FS24,  16.77679,       -62.18974,     302,   y, 2008-01-07, GPS - Alan's final list
FS25,  16.77757,       -62.18965,     292,   y, 2008-01-07, GPS - Alan's final list
FS26,  16.77840,       -62.18980,     282,   y, 2008-01-07, GPS - Alan's final list
FS27,  16.77945,       -62.19008,     273,   y, 2008-01-07, GPS - Alan's final list
FS28,  16.78040,       -62.19128,     247,   y, 2008-01-07, GPS - Alan's final list
FS29,  16.78114,       -62.19112,     239,   y, 2008-01-07, GPS - Alan's final list
FS30,  16.78207,       -62.19111,     225,   y, 2008-01-07, GPS - Alan's final list
FS31,  16.78311,       -62.19227,     229,   y, 2008-01-07, GPS - Alan's final list
FS32,  16.78395,       -62.19283,     229,   y, 2008-01-07, GPS - Alan's final list
FS33,  16.78455,       -62.19286,     222,   y, 2008-01-07, GPS - Alan's final list
FS34,  16.78579,       -62.19261,     224,   y, 2008-01-07, GPS - Alan's final list
FS35,  16.78648,       -62.19269,     221,   y, 2008-01-07, GPS - Alan's final list
FS36,  16.78741,       -62.19265,     211,   y, 2008-01-07, GPS - Alan's final list
