# Seismic Stations - locations
# Code,    Lat,            Long,     Elev, Primary,   Date, Source
BAUV,   8.943300,      -68.04150,     106,   n,           , Soufriere System file
BBJ,   18.38300,       -77.26700,     641,   n,           , Soufriere System file
BBL,   15.526200,      -61.46996,     365,   n,           , Soufriere System file
BBP,   17.64000,       -61.82600,       5,   n,           , Soufriere System file
BBSP,  13.104472,      -59.45789,      35,   n,           , Soufriere System file
BDH,   13.202850,      -59.58900,     308,   n,           , Soufriere System file
BDS,   13.14600,       -59.62600,     110,   n,           , Soufriere System file
BECU,  -0.474667,      -78.42950,    3320,   n,           , Soufriere System file
BEV,   18.45167,       -77.30000,     123,   n,           , Soufriere System file
BHS,   13.29632,       -61.12716,      90,   n,           , Soufriere System file
BIM,   14.51700,       -61.07083,     425,   n,           , Soufriere System file
BIRV,  10.475600,      -66.26930,     200,   n,           , Soufriere System file
BLV,    8.190830,      -71.82556,    1110,   n,           , Soufriere System file
BNI,   45.052694         6.67517,       0,   n,           , Soufriere System file
BOG,    4.62306        -74.06500,    2658,   n,           , Soufriere System file
BOT,   11.16667,       -60.71795,      30,   n,           , Soufriere System file
BPA,   17.046000,      -61.85700,     396,   n,           , Soufriere System file
BRB,   13.12200,       -59.60600,      55,   n,           , Soufriere System file
BRG,   16.085000,      -61.61967,     442,   n,           , Soufriere System file
BRJ,   18.03333,       -77.86833,       8,   n,           , Soufriere System file
BSF,   47.831944,        6.79222,    1200,   n,           , Soufriere System file
BSK,   17.347000,      -62.84000,     125,   n,           , Soufriere System file
BSP,   13.104472,      -59.45789,      35,   n,           , Soufriere System file
BTG,   15.99000,       -61.71917,      42,   n,           , Soufriere System file
BUAY,  10.107230,      -61.68618,       0,   n,           , Soufriere System file
BVI,   18.410000,      -64.61000,     100,   n,           , Soufriere System file
BVM,   14.735000,      -61.08000,     694,   n,           , Soufriere System file (elev. to be revised)
BWI,   17.66500,       -61.79000,      10,   n,           , Soufriere System file
CABA,   7.855800,      -71.50220,    1600,   n,           , Soufriere System file
CAG,   16.05417,       -61.65917,    1370,   n,           , Soufriere System file
CAGI,  10.506800,      -66.92750,    1035,   n,           , Soufriere System file
CAIV,   7.198000,      -66.19210,      76,   n,           , Soufriere System file
CAM,   14.75367,       -60.76550,     180,   n,           , Soufriere System file
CAMV,  10.550500,      -63.32220,    1002,   n,           , Soufriere System file
CANV,  11.038670,      -68.82800,     450,   n,           , Soufriere System file
CAR,   10.504000,      -66.92817,    1075,   n,           , Soufriere System file
CARU,  10.118500,      -63.11250,      40,   n,           , Soufriere System file
CATA,  10.600800,      -63.07017,     360,   n,           , Soufriere System file
CBY,   18.271670,      -65.85667,     550,   n,           , Soufriere System file
CBYP,  18.270000,      -65.86000,     550,   n,           , Soufriere System file
CCA,   18.069660       -66.32633,     210,   n,           , Soufriere System file
CDF,   48.412222,        7.27611,    1068,   n,           , Soufriere System file
CDP,   18.175000,      -66.59133,    1300,   n,           , Soufriere System file
CECU,  -0.476167,      -77.87033,    2220,   n,           , Soufriere System file
CEDI,   7.654000,      -71.88500,       9,   n,           , Soufriere System file
CELP,  18.075000,      -66.57944,     195,   n,           , Soufriere System file
CENE,   7.764000,      -71.33280,     400,   n,           , Soufriere System file
CEOS,   9.029830,      -68.34333,     427,   n,           , Soufriere System file
CGP,   17.76400,       -64.58400,       0,   n,           , Soufriere System file
CGV,   18.13200,       -65.31700,       0,   n,           , Soufriere System file
CHA,   13.858300,      -61.06430,     242,   n,           , Soufriere System file
CLLP,  18.070500,      -66.57550,     195,   n,           , Soufriere System file
CME,   20.06667,       -76.98333,       0,   n,           , Soufriere System file
COAV,  10.157800,      -63.82660,    1232,   n,           , Soufriere System file
CPA,   18.153330,      -66.08028,       0,   n,           , Soufriere System file (elev. to be revised)
CPB,   17.640000,      -61.82600,       5,   n,           , Soufriere System file
CPD,   18.036670,      -65.91500,     370,   n,           , Soufriere System file
CPM,   14.81556,       -61.21050,     335,   n,           , Soufriere System file
CRM,   14.75367,       -60.91550,     180,   n,           , Soufriere System file
CRUV,   0.616600,      -63.18330,     608,   n,           , Soufriere System file
CSB,   18.293060,      -66.15972,     430,   n,           , Soufriere System file
CSJ,   18.38300,       -65.61800,       0,   n,           , Soufriere System file
CUC,   21.19833,       -77.40689,       0,   n,           , Soufriere System file
CUM,   10.416000,      -64.01940,      34,   n,           , Soufriere System file
CUMV,  10.465000,      -64.16940,      24,   n,           , Soufriere System file
CUP,   18.33500,       -65.30800,       0,   n,           , Soufriere System file
CUPV,  10.063900,      -65.80560,     634,   n,           , Soufriere System file
DABV,  10.921800,      -70.63660,     220,   n,           , Soufriere System file
DBCT,  15.271500,      -61.34367,     527,   n, 2002-12-30, GPS - Chan (Soufriere System file)
DEG,   16.313167,      -61.06183,     275,   n,           , Soufriere System file
DFBT,  15.239250,      -61.35335,      83,   n, 2002-12-30, GPS - Chan (Soufriere System file)
DGBT,  15.239230,      -61.32937,      77.5, n,           , Soufriere System file
DHCT,  15.570000,      -61.42000,       0,   n, 2003-05-05, GPS - Chan (Soufriere System file)
DIAC,   3.291333,      -76.19733,    1520,   n,           , Soufriere System file
DIX,   46.080500,        7.41083,    2400,   n,           , Soufriere System file
DLVT,  15.432250,      -61.38883,     274.3, n, 2002-12-30, GPS - Chan (Soufriere System file)
DOG,   16.03200,       -61.61783,     460,   n,           , Soufriere System file
DOM,   15.29600,       -61.39100,      15,   n,           , Soufriere System file
DPMT,  15.259130,      -61.37902,      50,   n, 2002-12-30, GPS - Chan (Soufriere System file)
DSC,   15.208420,      -61.36517,      50,   n,           , Soufriere System file
DSHT,  15.214100,      -61.37303,     134.4, n, 2002-12-30, GPS - Chan (Soufriere System file)
DSTT,  15.247733,      -61.30353,     120,   n, 2002-12-30, GPS - Chan (Soufriere System file)
DSVT,  15.229600,      -61.37028,       5,   n,           , Soufriere System file
DTMT,  15.232880,      -61.35245,     496,   n,           , Soufriere System file
DURH,  15.292800,      -61.35587,     594,   n,           , Soufriere System file
DVDT,  15.315783,      -61.30417,     960,   n, 2002-12-30, GPS - Chan (Soufriere System file)
DWES,  15.556250,      -61.33075,      61,   n,           , Soufriere System file
DWS,   15.571767,      -61.31107,      61,   n, 2002-12-30, GPS - Chan (Soufriere System file)
ECG,   16.041830,      -61.65380,    1395,   n,           , Soufriere System file
ELMO,   8.013000,      -71.71690,    2100,   n,           , Soufriere System file
ELPA,   7.791700,      -71.72530,    1285,   n,           , Soufriere System file
EMS,   46.070000,        6.93100,    1800,   n,           , Soufriere System file
ERIS,  15.263070,      -61.36127,     572,   n,           , Soufriere System file
FBG,   15.979670,      -61.64783,     185,   n,           , Soufriere System file
FCV,   13.15700,       -61.24500,     194,   n,           , Soufriere System file
FDF,   14.733330,      -61.15033,     510,   y,           , Soufriere System file
FIPE,   7.969700,      -71.25110,     600,   n,           , Soufriere System file
FISA,  11.264800,      -69.33330,     600,   n,           , Soufriere System file
FNG,   16.060300,      -61.69100,     825,   n,           , Soufriere System file
GBM,   14.797330,      -61.16483,     800,   n,           , Soufriere System file
GCM,   19.28900,       -81.38100,       5,   n,           , Soufriere System file
GECU,  -0.317167,      -78.18967,    4350,   n,           , Soufriere System file
GNG,   11.17700,       -60.79800,      36,   n,           , Soufriere System file
GPV,   18.49200,       -64.40400,       0,   n,           , Soufriere System file
GRCU,  12.477110,      -61.45295,     240,   y,           , Soufriere System file (elev. from map)
GRE,   12.047000,      -61.74600,       0,   n,           , Soufriere System file
GRG,   11.17700,       -60.79800,      36,   n,           , Soufriere System file
GRHS,  12.221750,      -61.64050,      66,   y,           , Soufriere System file (elev. from 1:25k map)
GRIC,  12.285600,      -61.58577,      46,   n,           , Soufriere System file
GRSS,  12.298490,      -61.61233,      20,   y,           , Soufriere System file (elev. from map)
GRW,   12.160000,      -61.66100,     762,   n,           , Soufriere System file
GUA,    9.95750,       -65.64730,       0,   n,           , Soufriere System file
GUAC,  10.192000,      -67.27110,    1359,   n,           , Soufriere System file
GUAN,   9.953600,      -65.65970,     859,   n,           , Soufriere System file
GUIV,  10.647000,      -62.22300,      50,   n,           , Soufriere System file
GUNV,  10.161667,      -62.94260,      60,   n,           , Soufriere System file
GUV,    7.808600,      -63.09740,     130,   n,           , Soufriere System file
GUVO,   7.650800,      -63.15000,     130,   n,           , Soufriere System file
GVC,    7.595900,      -62.82330,       0,   n,           , Soufriere System file
